gender,under_30,senior_citizen,dependents,referred_a_friend,phone_service,multiple_lines,avg_monthly_gb_download,online_security,online_backup,streaming_music,paperless_billing,churn_label,cltv,tenure_months,monthly_charges,population,country_united_states,internet_type_cable,internet_type_dsl,internet_type_fiber_optic,payment_method_bank_withdrawal,payment_method_credit_card,payment_method_mailed_check,quarter_q3,device_protection_no,device_protection_yes,tech_support_no,tech_support_yes,state_california,city_encoded,longitude_encoded
0,0,0,0,0,0,0,13,1,0,0,1,0,2927,27,30.75,34902,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,854,174
0,0,0,0,1,1,0,0,0,0,0,1,0,5888,11,19.95,34902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,854,174
1,0,0,0,1,1,1,27,0,1,0,0,0,5502,55,85.45,34902,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,854,174
0,0,0,0,0,1,1,14,0,1,0,0,0,2818,3,81.35,34902,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,854,174
1,0,0,0,0,1,0,17,0,0,0,0,0,4902,1,75.3,17018,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,993,25
1,0,0,0,0,0,0,26,0,1,0,1,0,4099,5,28.45,63999,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,829,226
1,0,0,0,0,1,1,12,0,1,0,0,0,2666,20,94.1,39264,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,415,82
1,0,0,0,1,1,1,22,0,0,0,0,0,5273,5,74.35,46214,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,636,187
1,0,0,0,1,1,0,25,1,0,0,0,0,4517,27,75.2,26357,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,745,169
1,0,0,0,0,1,1,24,0,0,0,0,0,5808,4,89.2,36301,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,23,293
1,0,0,0,0,1,1,21,0,0,0,0,0,4880,1,85.7,1408,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,109,296
1,0,0,0,1,1,1,28,1,0,0,1,0,4196,65,105.25,20893,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1098,279
0,0,0,0,1,1,1,14,0,1,0,1,0,5059,49,90.05,576,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,966,740
0,0,0,0,1,1,1,5,0,1,0,0,0,2728,43,110.75,31727,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,884,751
0,0,0,0,0,1,1,12,1,0,0,0,0,6268,56,104.55,1054,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,15,730
0,0,0,0,1,1,1,10,0,0,1,0,0,5604,20,94.55,191,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,142,618
1,0,0,0,0,1,1,19,0,1,1,1,0,2065,2,89.5,37280,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,251,694
1,0,0,0,0,1,0,0,0,0,0,1,0,5432,8,19.65,626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,320,737
0,0,0,0,0,0,0,18,0,1,1,0,0,5597,52,49.15,46171,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,987,110
0,0,0,0,0,1,0,27,1,0,0,0,0,3475,2,49.25,47224,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,854,146
0,0,0,0,1,1,1,8,0,0,0,0,0,4333,33,94.5,47224,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,854,146
1,0,0,0,0,1,1,19,1,1,0,1,0,2482,30,91.7,47224,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,854,146
0,0,0,0,0,1,1,13,0,0,0,0,0,5444,20,98.55,47224,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,854,146
1,0,0,0,0,1,1,20,1,1,1,0,0,2403,46,110.0,807,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,87,793
0,0,0,0,1,1,1,11,0,0,0,0,0,3265,7,95.6,26213,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,907,743
1,0,0,0,0,1,0,18,0,0,0,0,0,5301,4,78.85,3146,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,949,693
1,0,0,0,0,1,1,7,0,0,1,0,0,5679,55,100.0,35790,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,351,783
0,0,0,0,1,1,0,24,0,1,0,0,0,5849,20,73.65,254,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,461,1028
0,0,0,0,0,1,1,15,0,0,1,0,0,4038,9,100.5,28998,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,857,1430
0,0,0,0,0,1,0,24,0,1,0,0,0,3189,10,72.85,13723,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,857,1423
0,0,0,0,0,1,1,6,0,0,0,0,0,4369,1,73.55,30587,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,857,1435
1,0,0,0,0,1,1,11,0,1,0,0,0,3501,3,79.4,1458,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,857,1408
1,0,0,0,0,1,1,17,0,0,0,0,0,2467,4,84.6,1723,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,725,1334
0,0,0,0,0,1,1,19,0,0,0,0,0,2074,35,99.05,138,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,88,1199
0,0,0,0,0,1,0,11,0,0,0,1,0,5900,2,44.95,10153,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,127,1144
0,0,0,0,0,1,0,27,1,0,1,1,0,5084,8,100.3,46917,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,348,1223
0,0,0,0,1,0,0,28,0,1,0,0,0,4829,44,30.35,75929,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,536,1159
0,0,0,0,1,1,1,16,0,1,1,0,0,5052,62,103.75,63947,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,653,1370
1,0,0,0,1,1,1,15,0,1,0,0,0,3601,33,80.6,36669,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,773,1209
1,0,0,0,0,1,1,23,0,0,1,0,0,5419,4,94.3,44078,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,879,1255
0,0,0,0,1,1,1,23,0,0,0,0,0,2377,27,75.5,28568,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,773,1228
0,0,0,0,0,1,1,29,0,0,0,0,0,5906,8,100.6,21205,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,74,1362
1,0,0,0,1,1,0,2,1,0,0,0,0,4486,3,88.3,11889,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,74,1376
1,0,0,0,0,1,0,9,0,0,0,0,0,5662,8,92.1,8157,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,74,1393
0,0,0,0,0,1,0,24,0,0,0,1,0,4777,14,90.45,12010,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,383,1474
0,0,0,0,0,0,0,10,0,0,0,0,0,2437,12,43.65,1025,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,335,1496
1,0,0,0,0,1,0,21,0,0,0,0,0,2995,13,74.3,4753,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,347,1183
1,0,0,0,0,1,0,27,0,0,0,1,0,2202,11,89.7,49968,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,365,1128
0,0,0,0,1,1,1,16,0,0,0,0,0,5508,17,100.45,13290,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,556,1260
0,0,0,0,1,1,1,26,0,1,1,0,0,4687,39,105.65,32804,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,863,1237
1,0,0,0,1,1,1,27,0,0,0,0,0,4553,11,104.05,15798,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,863,1168
1,0,0,0,1,1,0,9,0,0,0,0,0,3834,3,80.4,21,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,367,885
0,0,0,0,0,1,0,14,0,0,0,0,0,4716,21,60.05,2144,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,209,850
1,0,0,0,0,1,1,16,0,0,0,0,0,5913,16,96.15,48690,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,306,92
1,0,0,0,0,1,0,30,0,1,0,1,0,3180,46,95.25,30173,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,511,427
1,0,0,0,1,1,1,24,0,1,0,0,0,5651,68,89.6,476,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,354,1510
0,0,0,0,1,1,0,27,0,0,0,0,0,3077,7,89.5,2223,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,667,1519
0,0,0,0,1,1,1,22,0,0,0,0,0,4981,15,85.6,261,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,11,1578
0,0,0,0,0,1,1,22,0,0,0,0,0,2508,16,86.6,1689,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,63,1611
1,0,0,0,0,1,0,18,0,0,0,0,0,4371,1,69.25,1447,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,542,1623
1,0,0,0,0,0,0,5,0,0,0,0,0,5688,1,25.2,3284,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,820,1619
1,0,0,0,0,1,1,24,0,0,1,0,0,2230,13,95.05,648,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,245,1163
1,0,0,0,0,1,0,24,0,0,0,0,0,4363,1,79.2,51855,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,330,1017
1,0,0,0,1,1,1,4,0,1,0,0,0,3369,34,94.25,844,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,573,1250
1,0,0,0,0,1,0,10,0,1,1,0,0,2268,4,99.8,901,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,771,1120
1,0,0,0,0,1,1,18,0,0,0,0,0,4193,2,93.85,1219,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,915,1072
0,0,0,0,0,1,1,18,0,0,0,0,0,5745,9,84.4,3600,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1069,1092
1,0,0,0,0,1,0,9,0,0,0,0,0,4028,5,75.55,299,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,796,1024
0,0,0,0,0,1,1,8,0,0,1,0,0,4458,22,96.7,86,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,151,1011
0,0,0,0,0,1,1,9,0,1,0,0,0,5683,19,88.2,614,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,262,1033
0,0,0,0,0,1,1,19,0,0,0,1,0,2099,15,75.65,1351,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,336,1116
0,0,0,0,0,1,1,20,0,0,0,0,0,3348,1,74.7,17922,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,380,1014
1,0,0,0,0,0,0,26,0,0,0,0,0,3884,1,25.8,17269,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,657,950
0,0,0,0,0,1,1,14,0,0,0,0,0,5353,10,95.35,48690,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,306,92
1,0,0,0,0,1,0,6,0,0,0,1,0,4145,3,45.0,42239,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,316,203
0,0,0,0,1,1,0,19,0,0,0,0,0,5374,12,80.45,1845,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,527,1515
0,0,0,0,0,1,0,11,0,1,0,0,0,2803,2,74.7,4931,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,726,1337
0,0,0,0,0,1,1,20,0,0,0,0,0,3106,1,88.8,459,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,837,1292
0,0,0,0,1,1,0,5,0,1,0,0,0,3861,13,89.05,28201,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,854,170
1,0,0,0,0,1,0,23,0,1,0,0,0,2740,23,94.75,28201,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,854,170
1,0,0,0,1,1,1,6,1,0,0,0,0,3209,17,85.35,28201,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,854,170
0,0,0,0,0,1,0,2,0,0,0,0,0,3797,17,45.05,28201,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,854,170
1,0,0,0,0,1,1,17,0,0,0,0,0,4871,42,84.65,28201,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,854,170
0,0,0,0,0,1,0,16,0,0,0,0,0,5001,1,79.1,28201,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,854,170
0,0,0,0,0,1,0,12,0,0,0,0,0,3438,1,50.15,4258,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,854,172
1,0,0,0,0,1,0,15,0,0,0,0,0,3438,1,69.6,18693,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,419,557
1,0,0,0,0,1,1,23,1,1,1,0,0,3380,41,113.2,44442,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,119,372
0,0,0,0,0,1,0,4,0,0,1,0,0,5394,13,90.5,33528,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,119,365
0,0,0,0,1,1,1,23,0,0,1,0,0,4584,32,85.0,63136,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,548,448
0,0,0,0,1,1,1,10,0,0,1,1,0,2712,32,85.3,23984,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,944,433
0,0,0,0,1,0,0,3,0,0,1,0,0,5172,57,44.85,21990,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,368,491
0,0,0,0,0,1,0,14,0,0,0,1,0,4499,1,45.1,17015,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,368,483
0,0,0,0,0,0,0,26,0,1,0,0,0,4972,1,43.3,68018,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,815,608
1,0,0,0,0,1,0,27,1,1,0,0,0,3110,38,57.15,81986,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,977,564
1,0,0,0,1,1,1,22,1,1,0,0,0,4745,35,100.5,11517,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,120,511
1,0,0,0,0,1,0,14,0,0,0,1,0,2740,1,45.1,45358,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,676,554
0,0,0,0,1,1,0,29,0,1,0,0,0,4795,30,50.4,75319,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,186,263
1,0,0,0,0,1,0,20,0,0,0,1,0,4054,5,78.95,34716,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,192,273
0,0,0,0,0,1,1,6,0,0,0,0,0,5536,1,93.55,51213,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,854,165
0,0,0,0,1,1,1,19,1,1,0,0,0,4739,58,108.85,51213,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,854,165
1,0,0,0,0,1,1,7,0,0,0,0,0,5136,16,84.75,51213,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,854,165
1,0,0,0,0,1,0,27,0,0,0,0,0,3208,1,69.95,51213,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,854,165
1,0,0,0,1,1,1,11,0,1,0,0,0,4287,5,81.0,34902,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,854,174
0,0,0,0,0,1,0,7,0,0,0,0,0,4317,21,96.8,964,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,255,8
1,0,0,0,0,1,0,10,1,1,0,0,0,2833,43,108.15,48690,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,306,92
1,0,0,0,1,1,1,6,0,0,0,0,0,5247,32,93.2,42239,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,316,203
1,0,0,0,0,1,0,13,0,0,0,0,0,2146,1,70.55,4253,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1096,253
0,0,0,0,1,1,1,28,0,0,1,0,0,5137,29,98.5,12743,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,636,135
0,0,0,0,1,1,1,6,0,0,1,0,0,2982,13,95.25,18311,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,651,149
0,0,0,0,1,1,1,17,0,0,0,0,0,4969,7,74.4,7344,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,683,133
1,0,0,0,0,1,1,28,0,0,1,0,0,3685,2,88.55,17621,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,451,305
1,0,0,0,0,1,0,2,0,0,1,0,0,2371,1,91.3,13422,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,219,315
0,0,0,0,1,1,0,22,0,0,0,0,0,3669,7,70.1,8660,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,609,362
0,0,0,0,1,1,1,21,0,1,0,0,0,6259,57,95.25,4242,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,664,332
1,0,0,0,1,1,1,23,0,0,0,0,0,3128,1,100.8,22133,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,664,341
0,0,0,0,1,1,0,8,0,1,0,0,0,3266,17,76.45,37879,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,883,323
1,0,0,0,0,1,0,20,0,0,0,0,0,3561,3,86.85,6503,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,687,709
0,0,0,0,1,1,1,25,0,0,0,0,0,4479,66,99.5,31727,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,884,751
0,0,0,0,1,1,1,4,0,1,0,0,0,4708,69,108.4,15757,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,884,767
