tenure_months,dependents,monthly_charges,tech_support_no,city_encoded,population,longitude_encoded,cltv,avg_monthly_gb_download,online_security,paperless_billing,payment_method_credit_card,online_backup,payment_method_bank_withdrawal,streaming_music,referred_a_friend,internet_type_dsl,internet_type_cable,internet_type_fiber_optic,multiple_lines,churn_label
3,0,81.35,1.0,854,34902,174,2818,14,0,0,0.0,1,1.0,0,0,0.0,0.0,1.0,1,0
1,0,75.3,1.0,993,17018,25,4902,17,0,0,0.0,0,1.0,0,0,0.0,0.0,1.0,0,0
5,0,28.45,1.0,829,63999,226,4099,26,0,1,0.0,1,1.0,0,0,1.0,0.0,0.0,0,0
20,0,94.1,1.0,415,39264,82,2666,12,0,0,0.0,1,1.0,0,0,0.0,0.0,1.0,1,0
5,0,74.35,1.0,636,46214,187,5273,22,0,0,0.0,0,1.0,0,1,0.0,0.0,1.0,1,0
27,0,75.2,1.0,745,26357,169,4517,25,1,0,0.0,0,1.0,0,1,0.0,1.0,0.0,0,0
4,0,89.2,1.0,23,36301,293,5808,24,0,0,0.0,0,1.0,0,0,0.0,1.0,0.0,1,0
1,0,85.7,1.0,109,1408,296,4880,21,0,0,0.0,0,1.0,0,0,0.0,0.0,1.0,1,0
65,0,105.25,1.0,1098,20893,279,4196,28,1,1,0.0,0,1.0,0,1,0.0,0.0,1.0,1,0
49,0,90.05,1.0,966,576,740,5059,14,0,1,1.0,1,0.0,0,1,0.0,0.0,1.0,1,0
43,0,110.75,0.0,884,31727,751,2728,5,0,0,0.0,1,1.0,0,1,0.0,0.0,1.0,1,0
56,0,104.55,1.0,15,1054,730,6268,12,1,0,0.0,0,1.0,0,0,0.0,0.0,1.0,1,0
20,0,94.55,1.0,142,191,618,5604,10,0,0,0.0,0,1.0,1,1,0.0,0.0,1.0,1,0
2,0,89.5,1.0,251,37280,694,2065,19,0,1,0.0,1,1.0,1,0,0.0,0.0,1.0,1,0
8,0,19.65,0.0,320,626,737,5432,0,0,1,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0
52,0,49.15,1.0,987,46171,110,5597,18,0,0,0.0,1,1.0,1,0,1.0,0.0,0.0,0,0
2,0,49.25,1.0,854,47224,146,3475,27,1,0,0.0,0,1.0,0,0,1.0,0.0,0.0,0,0
33,0,94.5,1.0,854,47224,146,4333,8,0,0,0.0,0,1.0,0,1,0.0,0.0,1.0,1,0
30,0,91.7,1.0,854,47224,146,2482,19,1,1,1.0,1,0.0,0,0,0.0,0.0,1.0,1,0
20,0,98.55,1.0,854,47224,146,5444,13,0,0,0.0,0,1.0,0,0,0.0,0.0,1.0,1,0
46,0,110.0,1.0,87,807,793,2403,20,1,0,0.0,1,1.0,1,0,0.0,0.0,1.0,1,0
7,0,95.6,1.0,907,26213,743,3265,11,0,0,0.0,0,1.0,0,1,0.0,1.0,0.0,1,0
4,0,78.85,1.0,949,3146,693,5301,18,0,0,0.0,0,1.0,0,0,0.0,0.0,1.0,0,0
55,0,100.0,1.0,351,35790,783,5679,7,0,0,0.0,0,1.0,1,0,0.0,0.0,1.0,1,0
20,0,73.65,1.0,461,254,1028,5849,24,0,0,0.0,1,1.0,0,1,0.0,0.0,1.0,0,0
9,0,100.5,1.0,857,28998,1430,4038,15,0,0,0.0,0,1.0,1,0,0.0,0.0,1.0,1,0
10,0,72.85,1.0,857,13723,1423,3189,24,0,0,0.0,1,1.0,0,0,0.0,0.0,1.0,0,0
1,0,73.55,1.0,857,30587,1435,4369,6,0,0,0.0,0,1.0,0,0,0.0,0.0,1.0,1,0
3,0,79.4,1.0,857,1458,1408,3501,11,0,0,0.0,1,1.0,0,0,0.0,0.0,1.0,1,0
4,0,84.6,1.0,725,1723,1334,2467,17,0,0,0.0,0,1.0,0,0,0.0,1.0,0.0,1,0
35,0,99.05,1.0,88,138,1199,2074,19,0,0,0.0,0,1.0,0,0,0.0,0.0,1.0,1,0
2,0,44.95,1.0,127,10153,1144,5900,11,0,1,1.0,0,0.0,0,0,1.0,0.0,0.0,0,0
8,0,100.3,0.0,348,46917,1223,5084,27,1,1,1.0,0,0.0,1,0,0.0,0.0,1.0,0,0
44,0,30.35,1.0,536,75929,1159,4829,28,0,0,0.0,1,1.0,0,1,0.0,1.0,0.0,0,0
62,0,103.75,1.0,653,63947,1370,5052,16,0,0,0.0,1,1.0,1,1,0.0,0.0,1.0,1,0
33,0,80.6,1.0,773,36669,1209,3601,15,0,0,0.0,1,1.0,0,1,0.0,1.0,0.0,1,0
4,0,94.3,1.0,879,44078,1255,5419,23,0,0,0.0,0,1.0,1,0,0.0,0.0,1.0,1,0
27,0,75.5,1.0,773,28568,1228,2377,23,0,0,0.0,0,1.0,0,1,0.0,0.0,1.0,1,0
8,0,100.6,1.0,74,21205,1362,5906,29,0,0,0.0,0,1.0,0,0,0.0,0.0,1.0,1,0
3,0,88.3,0.0,74,11889,1376,4486,2,1,0,0.0,0,0.0,0,1,0.0,0.0,1.0,0,0
8,0,92.1,1.0,74,8157,1393,5662,9,0,0,0.0,0,1.0,0,0,0.0,0.0,1.0,0,0
14,0,90.45,1.0,383,12010,1474,4777,24,0,1,1.0,0,0.0,0,0,0.0,0.0,1.0,0,0
12,0,43.65,0.0,335,1025,1496,2437,10,0,0,0.0,0,1.0,0,0,1.0,0.0,0.0,0,0
13,0,74.3,1.0,347,4753,1183,2995,21,0,0,0.0,0,1.0,0,0,0.0,0.0,1.0,0,0
11,0,89.7,1.0,365,49968,1128,2202,27,0,1,0.0,0,1.0,0,0,0.0,0.0,1.0,0,0
17,0,100.45,1.0,556,13290,1260,5508,16,0,0,1.0,0,0.0,0,1,0.0,1.0,0.0,1,0
39,0,105.65,1.0,863,32804,1237,4687,26,0,0,0.0,1,1.0,1,1,0.0,0.0,1.0,1,0
11,0,104.05,0.0,863,15798,1168,4553,27,0,0,0.0,0,1.0,0,1,0.0,0.0,1.0,1,0
3,0,80.4,1.0,367,21,885,3834,9,0,0,0.0,0,1.0,0,1,0.0,0.0,1.0,0,0
21,0,60.05,1.0,209,2144,850,4716,14,0,0,0.0,0,1.0,0,0,1.0,0.0,0.0,0,0
16,0,96.15,1.0,306,48690,92,5913,16,0,0,0.0,0,1.0,0,0,0.0,0.0,1.0,1,0
46,0,95.25,1.0,511,30173,427,3180,30,0,1,1.0,1,0.0,0,0,0.0,0.0,1.0,0,0
68,0,89.6,1.0,354,476,1510,5651,24,0,0,0.0,1,1.0,0,1,0.0,0.0,1.0,1,0
7,0,89.5,1.0,667,2223,1519,3077,27,0,0,0.0,0,1.0,0,1,0.0,0.0,1.0,0,0
15,0,85.6,1.0,11,261,1578,4981,22,0,0,0.0,0,1.0,0,1,0.0,1.0,0.0,1,0
16,0,86.6,1.0,63,1689,1611,2508,22,0,0,0.0,0,1.0,0,0,0.0,0.0,1.0,1,0
1,0,69.25,1.0,542,1447,1623,4371,18,0,0,0.0,0,1.0,0,0,0.0,1.0,0.0,0,0
1,0,25.2,1.0,820,3284,1619,5688,5,0,0,0.0,0,1.0,0,0,0.0,1.0,0.0,0,0
13,0,95.05,1.0,245,648,1163,2230,24,0,0,0.0,0,1.0,1,0,0.0,0.0,1.0,1,0
1,0,79.2,1.0,330,51855,1017,4363,24,0,0,0.0,0,1.0,0,0,0.0,0.0,1.0,0,0
34,0,94.25,1.0,573,844,1250,3369,4,0,0,0.0,1,1.0,0,1,0.0,0.0,1.0,1,0
4,0,99.8,1.0,771,901,1120,2268,10,0,0,1.0,1,0.0,1,0,0.0,0.0,1.0,0,0
2,0,93.85,1.0,915,1219,1072,4193,18,0,0,0.0,0,1.0,0,0,0.0,0.0,1.0,1,0
9,0,84.4,1.0,1069,3600,1092,5745,18,0,0,1.0,0,0.0,0,0,0.0,0.0,1.0,1,0
5,0,75.55,1.0,796,299,1024,4028,9,0,0,1.0,0,0.0,0,0,0.0,0.0,1.0,0,0
22,0,96.7,1.0,151,86,1011,4458,8,0,0,0.0,0,1.0,1,0,0.0,0.0,1.0,1,0
19,0,88.2,1.0,262,614,1033,5683,9,0,0,0.0,1,1.0,0,0,0.0,0.0,1.0,1,0
15,0,75.65,1.0,336,1351,1116,2099,19,0,1,0.0,0,1.0,0,0,0.0,0.0,1.0,1,0
1,0,74.7,1.0,380,17922,1014,3348,20,0,0,0.0,0,1.0,0,0,0.0,0.0,1.0,1,0
1,0,25.8,1.0,657,17269,950,3884,26,0,0,0.0,0,0.0,0,0,1.0,0.0,0.0,0,0
10,0,95.35,1.0,306,48690,92,5353,14,0,0,0.0,0,1.0,0,0,0.0,0.0,1.0,1,0
3,0,45.0,1.0,316,42239,203,4145,6,0,1,0.0,0,1.0,0,0,1.0,0.0,0.0,0,0
12,0,80.45,1.0,527,1845,1515,5374,19,0,0,0.0,0,1.0,0,1,0.0,0.0,1.0,0,0
2,0,74.7,1.0,726,4931,1337,2803,11,0,0,0.0,1,1.0,0,0,0.0,0.0,1.0,0,0
1,0,88.8,1.0,837,459,1292,3106,20,0,0,0.0,0,1.0,0,0,0.0,0.0,1.0,1,0
13,0,89.05,0.0,854,28201,170,3861,5,0,0,0.0,1,1.0,0,1,0.0,0.0,1.0,0,0
23,0,94.75,1.0,854,28201,170,2740,23,0,0,0.0,1,1.0,0,0,0.0,0.0,1.0,0,0
17,0,85.35,1.0,854,28201,170,3209,6,1,0,0.0,0,1.0,0,1,0.0,0.0,1.0,1,0
17,0,45.05,1.0,854,28201,170,3797,2,0,0,0.0,0,1.0,0,0,1.0,0.0,0.0,0,0
42,0,84.65,1.0,854,28201,170,4871,17,0,0,0.0,0,1.0,0,0,0.0,0.0,1.0,1,0
1,0,79.1,1.0,854,28201,170,5001,16,0,0,0.0,0,1.0,0,0,0.0,0.0,1.0,0,0
1,0,50.15,1.0,854,4258,172,3438,12,0,0,0.0,0,0.0,0,0,0.0,1.0,0.0,0,0
1,0,69.6,1.0,419,18693,557,3438,15,0,0,0.0,0,1.0,0,0,0.0,0.0,1.0,0,0
41,0,113.2,1.0,119,44442,372,3380,23,1,0,0.0,1,1.0,1,0,0.0,0.0,1.0,1,0
13,0,90.5,1.0,119,33528,365,5394,4,0,0,0.0,0,1.0,1,0,0.0,0.0,1.0,0,0
32,0,85.0,1.0,548,63136,448,4584,23,0,0,0.0,0,1.0,1,1,0.0,0.0,1.0,1,0
32,0,85.3,1.0,944,23984,433,2712,10,0,1,0.0,0,1.0,1,1,0.0,0.0,1.0,1,0
57,0,44.85,1.0,368,21990,491,5172,3,0,0,0.0,0,1.0,1,1,0.0,1.0,0.0,0,0
1,0,45.1,1.0,368,17015,483,4499,14,0,1,0.0,0,1.0,0,0,0.0,1.0,0.0,0,0
1,0,43.3,1.0,815,68018,608,4972,26,0,0,0.0,1,1.0,0,0,1.0,0.0,0.0,0,0
38,0,57.15,1.0,977,81986,564,3110,27,1,0,1.0,1,0.0,0,0,1.0,0.0,0.0,0,0
35,0,100.5,0.0,120,11517,511,4745,22,1,0,0.0,1,1.0,0,1,0.0,1.0,0.0,1,0
1,0,45.1,1.0,676,45358,554,2740,14,0,1,1.0,0,0.0,0,0,1.0,0.0,0.0,0,0
30,0,50.4,1.0,186,75319,263,4795,29,0,0,0.0,1,1.0,0,1,1.0,0.0,0.0,0,0
5,0,78.95,1.0,192,34716,273,4054,20,0,1,0.0,0,1.0,0,0,0.0,0.0,1.0,0,0
1,0,93.55,1.0,854,51213,165,5536,6,0,0,0.0,0,1.0,0,0,0.0,0.0,1.0,1,0
58,0,108.85,1.0,854,51213,165,4739,19,1,0,0.0,1,1.0,0,1,0.0,0.0,1.0,1,0
16,0,84.75,1.0,854,51213,165,5136,7,0,0,0.0,0,1.0,0,0,0.0,0.0,1.0,1,0
1,0,69.95,1.0,854,51213,165,3208,27,0,0,0.0,0,1.0,0,0,0.0,0.0,1.0,0,0
5,0,81.0,1.0,854,34902,174,4287,11,0,0,0.0,1,1.0,0,1,0.0,0.0,1.0,1,0
21,0,96.8,1.0,255,964,8,4317,7,0,0,0.0,0,1.0,0,0,0.0,0.0,1.0,0,0
43,0,108.15,0.0,306,48690,92,2833,10,1,0,1.0,1,0.0,0,0,0.0,0.0,1.0,0,0
32,0,93.2,1.0,316,42239,203,5247,6,0,0,0.0,0,1.0,0,1,0.0,0.0,1.0,1,0
1,0,70.55,1.0,1096,4253,253,2146,13,0,0,0.0,0,1.0,0,0,0.0,0.0,1.0,0,0
29,0,98.5,1.0,636,12743,135,5137,28,0,0,0.0,0,1.0,1,1,0.0,0.0,1.0,1,0
13,0,95.25,1.0,651,18311,149,2982,6,0,0,0.0,0,1.0,1,1,0.0,1.0,0.0,1,0
7,0,74.4,1.0,683,7344,133,4969,17,0,0,1.0,0,0.0,0,1,0.0,0.0,1.0,1,0
2,0,88.55,1.0,451,17621,305,3685,28,0,0,0.0,0,1.0,1,0,0.0,0.0,1.0,1,0
1,0,91.3,1.0,219,13422,315,2371,2,0,0,0.0,0,1.0,1,0,0.0,0.0,1.0,0,0
7,0,70.1,1.0,609,8660,362,3669,22,0,0,1.0,0,0.0,0,1,0.0,0.0,1.0,0,0
57,0,95.25,1.0,664,4242,332,6259,21,0,0,0.0,1,1.0,0,1,0.0,0.0,1.0,1,0
1,0,100.8,1.0,664,22133,341,3128,23,0,0,0.0,0,1.0,0,1,0.0,0.0,1.0,1,0
17,0,76.45,1.0,883,37879,323,3266,8,0,0,0.0,1,1.0,0,1,0.0,0.0,1.0,0,0
3,0,86.85,1.0,687,6503,709,3561,20,0,0,0.0,0,1.0,0,0,0.0,0.0,1.0,0,0
66,0,99.5,1.0,884,31727,751,4479,25,0,0,1.0,0,0.0,0,1,0.0,0.0,1.0,1,0
69,0,108.4,0.0,884,15757,767,4708,4,0,0,0.0,1,1.0,0,1,0.0,0.0,1.0,1,0
15,0,83.05,0.0,987,46171,110,2596,3,0,0,0.0,0,1.0,0,1,0.0,0.0,1.0,1,0
56,0,104.75,1.0,991,5868,673,5605,4,0,0,0.0,1,1.0,0,0,0.0,0.0,1.0,1,0
21,0,94.25,1.0,987,46171,110,4819,9,0,0,0.0,0,1.0,0,0,0.0,0.0,1.0,1,0
1,0,70.15,1.0,106,1363,984,2825,8,0,0,0.0,0,1.0,0,0,0.0,0.0,1.0,0,0
32,0,106.35,1.0,670,15405,872,4113,3,0,1,0.0,1,1.0,0,1,0.0,0.0,1.0,1,0
40,0,94.55,1.0,522,504,689,5676,20,0,0,1.0,0,0.0,1,1,0.0,0.0,1.0,1,0
2,0,24.45,1.0,724,6787,297,5573,6,0,0,1.0,0,0.0,0,0,1.0,0.0,0.0,0,0
7,0,84.8,1.0,201,33856,753,2015,13,0,0,0.0,0,1.0,0,0,0.0,0.0,1.0,1,0
31,0,99.95,1.0,237,5519,704,5362,4,0,0,0.0,1,1.0,0,0,0.0,0.0,1.0,1,0
14,0,104.85,1.0,275,506,685,2292,7,0,0,0.0,1,1.0,0,0,0.0,0.0,1.0,1,0
15,0,74.2,1.0,345,5635,746,4553,9,0,0,1.0,0,0.0,0,0,0.0,0.0,1.0,1,0
59,0,93.85,1.0,940,343,904,5390,15,0,0,0.0,0,1.0,0,0,0.0,0.0,1.0,1,0
46,0,100.7,1.0,1005,1130,841,5712,17,1,0,0.0,1,1.0,0,1,0.0,0.0,1.0,1,0
25,0,89.7,1.0,461,254,1028,4078,6,0,0,0.0,1,1.0,0,0,0.0,0.0,1.0,1,0
16,0,96.4,1.0,540,538,999,2688,14,0,0,0.0,0,1.0,0,0,0.0,0.0,1.0,1,0
1,0,69.5,1.0,582,21759,1174,3273,15,0,0,0.0,0,1.0,0,0,0.0,0.0,1.0,0,0
36,0,85.25,1.0,868,521,953,3041,5,0,0,1.0,0,0.0,1,1,0.0,0.0,1.0,1,0
45,0,62.7,1.0,240,63337,1451,2654,17,1,1,1.0,0,0.0,0,0,1.0,0.0,0.0,0,0
25,0,105.95,1.0,857,56330,1432,4283,22,0,1,1.0,1,0.0,0,0,0.0,0.0,1.0,1,0
39,0,95.65,1.0,857,22920,1436,4892,23,0,0,0.0,0,1.0,0,0,0.0,0.0,1.0,1,0
31,0,98.9,0.0,857,1458,1408,4050,21,0,0,0.0,0,1.0,0,1,0.0,0.0,1.0,0,0
3,0,76.05,1.0,873,23393,1398,2930,28,0,0,0.0,0,1.0,0,0,0.0,0.0,1.0,1,0
1,0,69.75,1.0,213,36186,1281,5057,5,0,0,0.0,0,1.0,0,0,0.0,0.0,1.0,0,0
33,0,110.45,0.0,410,11147,1285,3401,25,0,0,0.0,1,1.0,1,0,0.0,0.0,1.0,1,0
7,0,99.25,1.0,653,26894,1401,2487,2,0,0,0.0,0,1.0,1,1,0.0,0.0,1.0,1,0
19,0,79.85,1.0,294,25399,1381,3715,15,0,0,0.0,0,1.0,0,0,0.0,0.0,1.0,1,0
8,0,80.45,1.0,878,40239,1455,3443,2,0,0,1.0,0,0.0,0,1,0.0,0.0,1.0,0,0
13,0,100.8,1.0,681,16429,1475,3269,28,1,0,0.0,0,1.0,0,0,0.0,0.0,1.0,1,0
10,0,79.25,1.0,955,781,1491,3856,18,0,0,0.0,0,1.0,0,0,0.0,0.0,1.0,0,0
5,0,89.5,1.0,556,24443,1245,2718,6,0,0,0.0,0,1.0,0,0,0.0,0.0,1.0,0,0
1,0,86.05,1.0,641,899,1182,4843,23,0,0,0.0,0,1.0,0,0,0.0,0.0,1.0,1,0
10,0,34.7,1.0,863,18197,1227,3244,4,0,0,0.0,0,1.0,0,0,1.0,0.0,0.0,0,0
53,0,60.05,0.0,863,27023,1229,5271,6,1,0,0.0,0,1.0,0,1,0.0,1.0,0.0,1,0
16,0,74.3,1.0,863,60620,1185,2076,8,0,0,1.0,1,0.0,0,1,0.0,0.0,1.0,0,0
9,0,74.55,1.0,957,49965,1067,3145,27,0,0,0.0,0,1.0,0,0,0.0,0.0,1.0,1,0
32,0,104.9,0.0,25,4264,901,3966,22,0,0,0.0,0,1.0,0,1,0.0,0.0,1.0,1,0
1,0,74.4,1.0,914,88,860,5429,29,0,0,0.0,0,1.0,0,1,0.0,0.0,1.0,1,0
8,0,69.7,1.0,58,809,911,3068,20,0,0,0.0,0,1.0,0,0,0.0,0.0,1.0,0,0
12,0,98.1,1.0,174,986,810,2709,27,0,0,0.0,1,1.0,0,1,0.0,0.0,1.0,1,0
4,0,99.6,1.0,421,1055,914,4708,20,1,0,0.0,0,1.0,0,1,0.0,0.0,1.0,1,0
70,0,102.95,1.0,939,1519,837,5005,20,0,0,0.0,1,1.0,0,1,0.0,0.0,1.0,1,0
1,0,71.0,1.0,306,48690,92,5345,5,0,0,0.0,0,1.0,0,0,0.0,0.0,1.0,0,0
47,0,70.55,1.0,306,48690,92,4457,26,0,1,0.0,0,1.0,0,1,0.0,0.0,1.0,0,0
1,0,69.25,1.0,107,176,1586,4568,8,0,0,0.0,0,1.0,0,1,0.0,0.0,1.0,0,0
12,0,83.8,0.0,751,1113,1570,5565,7,0,0,1.0,1,0.0,0,0,0.0,1.0,0.0,0,0
53,0,54.45,1.0,775,1352,1580,6280,25,0,0,0.0,1,1.0,0,0,1.0,0.0,0.0,0,0
41,0,99.8,1.0,1067,309,1593,4726,15,0,0,0.0,0,1.0,0,0,0.0,0.0,1.0,1,0
5,0,70.25,1.0,360,532,1596,3684,17,0,0,1.0,0,0.0,0,0,0.0,0.0,1.0,0,0
69,0,89.95,1.0,753,200,1585,6363,4,0,0,0.0,1,1.0,0,1,0.0,0.0,1.0,1,0
14,0,74.95,1.0,161,58830,1068,2075,11,0,0,0.0,0,1.0,0,0,0.0,0.0,1.0,1,0
32,0,74.4,1.0,191,43718,1050,2091,9,0,0,0.0,1,1.0,0,0,0.0,0.0,1.0,0,0
50,0,71.05,1.0,416,1745,1012,5746,24,0,0,0.0,0,1.0,0,1,0.0,1.0,0.0,0,0
2,0,30.4,1.0,661,6096,1022,4002,13,0,0,0.0,0,1.0,0,0,1.0,0.0,0.0,0,0
23,0,106.4,1.0,835,30614,1055,5507,29,0,0,0.0,1,1.0,0,0,0.0,0.0,1.0,1,0
2,0,85.55,1.0,33,1526,982,5512,25,0,0,0.0,0,1.0,0,0,0.0,0.0,1.0,1,0
30,0,79.65,1.0,840,16599,1114,2174,4,0,0,1.0,1,0.0,0,1,0.0,0.0,1.0,0,0
1,0,19.45,0.0,840,15975,1096,3848,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0
32,0,85.95,1.0,840,854,1131,2431,9,0,0,1.0,0,0.0,0,0,0.0,0.0,1.0,1,0
16,0,59.4,0.0,840,34894,1101,5556,16,0,1,0.0,0,1.0,0,0,1.0,0.0,0.0,0,0
38,0,99.55,0.0,125,303,1238,3474,2,0,0,0.0,0,1.0,0,0,0.0,0.0,1.0,1,0
2,0,95.1,0.0,199,282,1018,4486,20,0,0,1.0,1,0.0,0,0,0.0,0.0,1.0,0,0
17,0,81.5,1.0,792,6189,995,3443,16,0,1,0.0,0,1.0,0,1,0.0,0.0,1.0,0,0
3,0,36.45,1.0,975,3193,1188,3766,20,0,0,1.0,0,0.0,0,1,1.0,0.0,0.0,0,0
1,0,25.05,1.0,1017,73,1001,4842,21,0,1,1.0,0,0.0,0,0,1.0,0.0,0.0,0,0
43,0,55.55,1.0,3,615,963,2573,21,0,1,1.0,1,0.0,0,1,1.0,0.0,0.0,0,0
10,0,86.65,1.0,735,263,1481,4990,4,0,0,0.0,0,1.0,0,1,0.0,1.0,0.0,1,0
37,0,106.75,1.0,805,26438,1413,5849,2,1,0,0.0,1,1.0,0,0,0.0,0.0,1.0,1,0
12,0,101.35,1.0,269,1177,804,3967,4,0,0,0.0,1,1.0,0,1,0.0,0.0,1.0,1,0
35,0,95.45,1.0,920,348,902,2080,29,0,0,0.0,0,1.0,0,0,0.0,0.0,1.0,1,0
1,0,69.6,1.0,980,678,797,2151,10,0,0,0.0,0,1.0,0,0,0.0,0.0,1.0,0,0
1,0,78.45,1.0,554,45025,497,2139,13,0,1,0.0,0,1.0,0,0,0.0,0.0,1.0,0,0
9,0,84.45,1.0,854,4258,172,3543,21,0,0,0.0,0,1.0,0,0,0.0,0.0,1.0,1,0
38,0,70.15,0.0,554,44150,582,2645,30,0,0,1.0,1,0.0,0,0,0.0,1.0,0.0,0,0
51,0,97.8,1.0,554,30568,522,6204,11,0,0,0.0,0,1.0,0,0,0.0,0.0,1.0,1,0
5,0,83.15,1.0,554,29310,482,2516,25,0,0,1.0,0,0.0,0,0,0.0,0.0,1.0,1,0
2,0,75.45,1.0,235,31963,558,3350,25,0,0,1.0,0,0.0,0,0,0.0,0.0,1.0,1,0
2,0,54.85,1.0,235,15195,555,3016,6,1,1,1.0,1,0.0,0,0,1.0,0.0,0.0,0,0
1,0,95.1,1.0,359,9960,495,5795,11,0,0,0.0,0,1.0,0,1,0.0,0.0,1.0,1,0
53,0,101.9,1.0,1002,40705,514,5884,6,0,0,0.0,1,1.0,0,1,0.0,0.0,1.0,1,0
51,0,93.8,1.0,629,62425,407,4788,30,1,0,0.0,0,1.0,0,1,0.0,0.0,1.0,1,0
72,0,104.15,1.0,511,27563,409,5925,2,0,0,0.0,1,1.0,0,0,0.0,0.0,1.0,1,0
5,0,91.4,1.0,36,30933,385,2834,11,0,0,0.0,0,1.0,0,0,0.0,0.0,1.0,0,0
1,0,75.35,1.0,148,49242,626,4403,18,0,0,0.0,0,1.0,0,0,0.0,0.0,1.0,1,0
11,0,84.8,1.0,953,9937,624,5118,5,0,0,1.0,0,0.0,0,0,0.0,0.0,1.0,1,0
50,0,95.05,1.0,169,22177,635,5863,4,0,0,0.0,1,1.0,0,1,0.0,0.0,1.0,1,0
5,0,50.35,1.0,1034,40376,580,4618,28,0,1,0.0,0,1.0,0,0,1.0,0.0,0.0,0,0
5,0,89.8,1.0,676,57146,565,2960,12,0,0,0.0,1,1.0,0,0,0.0,0.0,1.0,1,0
9,0,99.45,1.0,1059,44099,347,2313,15,0,0,1.0,1,0.0,0,0,0.0,0.0,1.0,1,0
2,0,70.2,1.0,144,3133,45,2767,28,0,0,0.0,0,1.0,0,0,0.0,0.0,1.0,0,0
51,0,84.2,1.0,190,9278,95,6245,22,0,0,0.0,1,1.0,0,1,0.0,1.0,0.0,1,0
26,0,105.75,1.0,947,7863,91,3157,18,0,1,0.0,1,1.0,1,0,0.0,0.0,1.0,1,0
18,0,48.35,1.0,100,3849,171,2167,12,0,0,0.0,0,1.0,1,1,1.0,0.0,0.0,0,0
