gender,under_30,senior_citizen,dependents,country,state,city,longitude,referred_a_friend,phone_service,multiple_lines,internet_type,avg_monthly_gb_download,online_security,online_backup,streaming_music,paperless_billing,payment_method,quarter,churn_label,cltv,tenure_months,device_protection,tech_support,monthly_charges,population
Female,No,Yes,No,United States,California,San Diego,-117.209774,No,No,No,Cable,8,Yes,No,No,Yes,Bank Withdrawal,Q3,Yes,4778,21,No,No,41.9,34902
Male,No,Yes,No,United States,California,San Diego,-117.209774,No,No,No,Cable,13,Yes,No,No,No,Credit Card,Q3,Yes,2927,27,No,No,30.75,34902
Male,No,Yes,No,United States,California,San Diego,-117.209774,Yes,Yes,No,,0,No,No,No,No,Mailed Check,Q3,Yes,5888,11,No internet service,No internet service,19.95,34902
Female,No,Yes,No,United States,California,San Diego,-117.209774,Yes,Yes,Yes,Fiber Optic,27,No,Yes,No,Yes,Bank Withdrawal,Q3,Yes,5502,55,Yes,No,85.45,34902
Male,No,Yes,No,United States,California,San Diego,-117.209774,No,Yes,Yes,Fiber Optic,14,No,Yes,No,Yes,Bank Withdrawal,Q3,Yes,2818,3,No,No,81.35,34902
Female,No,Yes,No,United States,California,Thermal,-116.119222,No,Yes,No,Fiber Optic,17,No,No,No,Yes,Bank Withdrawal,Q3,Yes,4902,1,Yes,No,75.3,17018
Female,No,Yes,No,United States,California,Riverside,-117.447864,No,No,No,DSL,26,No,Yes,No,No,Bank Withdrawal,Q3,Yes,4099,5,No,No,28.45,63999
Female,No,Yes,No,United States,California,Hemet,-116.871544,No,Yes,Yes,Fiber Optic,12,No,Yes,No,Yes,Bank Withdrawal,Q3,Yes,2666,20,Yes,No,94.1,39264
Female,No,Yes,No,United States,California,Moreno Valley,-117.255039,Yes,Yes,Yes,Fiber Optic,22,No,No,No,Yes,Bank Withdrawal,Q3,Yes,5273,5,No,No,74.35,46214
Female,No,Yes,No,United States,California,Perris,-117.201666,Yes,Yes,No,Cable,25,Yes,No,No,Yes,Bank Withdrawal,Q3,Yes,4517,27,No,No,75.2,26357
Female,No,Yes,No,United States,California,Anaheim,-117.788357,No,Yes,Yes,Cable,24,No,No,No,Yes,Bank Withdrawal,Q3,Yes,5808,4,Yes,No,89.2,36301
Female,No,Yes,No,United States,California,Brea,-117.79387,No,Yes,Yes,Fiber Optic,21,No,No,No,Yes,Bank Withdrawal,Q3,Yes,4880,1,No,No,85.7,1408
Female,No,Yes,No,United States,California,Yorba Linda,-117.732197,Yes,Yes,Yes,Fiber Optic,28,Yes,No,No,No,Bank Withdrawal,Q3,Yes,4196,65,Yes,No,105.25,20893
Male,No,Yes,No,United States,California,Summerland,-119.60137,Yes,Yes,Yes,Fiber Optic,14,No,Yes,No,No,Credit Card,Q3,Yes,5059,49,No,No,90.05,576
Male,No,Yes,No,United States,California,Santa Barbara,-119.710008,Yes,Yes,Yes,Fiber Optic,5,No,Yes,No,Yes,Bank Withdrawal,Q3,Yes,2728,43,Yes,Yes,110.75,31727
Male,No,Yes,No,United States,California,Alpaugh,-119.498771,No,Yes,Yes,Fiber Optic,12,Yes,No,No,Yes,Bank Withdrawal,Q3,Yes,6268,56,Yes,No,104.55,1054
Male,No,Yes,No,United States,California,Camp Nelson,-118.591951,Yes,Yes,Yes,Fiber Optic,10,No,No,Yes,Yes,Bank Withdrawal,Q3,Yes,5604,20,No,No,94.55,191
Female,No,Yes,No,United States,California,Delano,-119.209689,No,Yes,Yes,Fiber Optic,19,No,Yes,Yes,No,Bank Withdrawal,Q3,Yes,2065,2,No,No,89.5,37280
Female,No,Yes,No,United States,California,Fellows,-119.57013,No,Yes,No,,0,No,No,No,No,Bank Withdrawal,Q3,Yes,5432,8,No internet service,No internet service,19.65,626
Male,No,Yes,No,United States,California,Temecula,-117.029473,No,No,No,DSL,18,No,Yes,Yes,Yes,Bank Withdrawal,Q3,Yes,5597,52,No,No,49.15,46171
Male,No,Yes,No,United States,California,San Diego,-117.134917,No,Yes,No,DSL,27,Yes,No,No,Yes,Bank Withdrawal,Q3,Yes,3475,2,No,No,49.25,47224
Male,No,Yes,No,United States,California,San Diego,-117.134917,Yes,Yes,Yes,Fiber Optic,8,No,No,No,Yes,Bank Withdrawal,Q3,Yes,4333,33,No,No,94.5,47224
Female,No,Yes,No,United States,California,San Diego,-117.134917,No,Yes,Yes,Fiber Optic,19,Yes,Yes,No,No,Credit Card,Q3,Yes,2482,30,Yes,No,91.7,47224
Male,No,Yes,No,United States,California,San Diego,-117.134917,No,Yes,Yes,Fiber Optic,13,No,No,No,Yes,Bank Withdrawal,Q3,Yes,5444,20,Yes,No,98.55,47224
Female,No,Yes,No,United States,California,Biola,-120.019511,No,Yes,Yes,Fiber Optic,20,Yes,Yes,Yes,Yes,Bank Withdrawal,Q3,Yes,2403,46,Yes,No,110.0,807
Male,No,Yes,No,United States,California,Selma,-119.642281,Yes,Yes,Yes,Cable,11,No,No,No,Yes,Bank Withdrawal,Q3,Yes,3265,7,No,No,95.6,26213
Female,No,Yes,No,United States,California,Squaw Valley,-119.202677,No,Yes,No,Fiber Optic,18,No,No,No,Yes,Bank Withdrawal,Q3,Yes,5301,4,No,No,78.85,3146
Female,No,Yes,No,United States,California,Fresno,-119.903674,No,Yes,Yes,Fiber Optic,7,No,No,Yes,Yes,Bank Withdrawal,Q3,Yes,5679,55,Yes,No,100.0,35790
Male,No,Yes,No,United States,California,Jolon,-121.189757,Yes,Yes,No,Fiber Optic,24,No,Yes,No,Yes,Bank Withdrawal,Q3,Yes,5849,20,No,No,73.65,254
Male,No,Yes,No,United States,California,San Francisco,-122.419233,No,Yes,Yes,Fiber Optic,15,No,No,Yes,Yes,Bank Withdrawal,Q3,Yes,4038,9,Yes,No,100.5,28998
Male,No,Yes,No,United States,California,San Francisco,-122.408653,No,Yes,No,Fiber Optic,24,No,Yes,No,Yes,Bank Withdrawal,Q3,Yes,3189,10,No,No,72.85,13723
Male,No,Yes,No,United States,California,San Francisco,-122.434801,No,Yes,Yes,Fiber Optic,6,No,No,No,Yes,Bank Withdrawal,Q3,Yes,4369,1,No,No,73.55,30587
Female,No,Yes,No,United States,California,San Francisco,-122.369725,No,Yes,Yes,Fiber Optic,11,No,Yes,No,Yes,Bank Withdrawal,Q3,Yes,3501,3,No,No,79.4,1458
Female,No,Yes,No,United States,California,Palo Alto,-122.177746,No,Yes,Yes,Cable,17,No,No,No,Yes,Bank Withdrawal,Q3,Yes,2467,4,No,No,84.6,1723
Male,No,Yes,No,United States,California,Birds Landing,-121.838298,No,Yes,Yes,Fiber Optic,19,No,No,No,Yes,Bank Withdrawal,Q3,Yes,2074,35,Yes,No,99.05,138
Male,No,Yes,No,United States,California,Byron,-121.601461,No,Yes,No,DSL,11,No,No,No,No,Credit Card,Q3,Yes,5900,2,No,No,44.95,10153
Male,No,Yes,No,United States,California,Fremont,-121.899117,No,Yes,No,Fiber Optic,27,Yes,No,Yes,No,Credit Card,Q3,Yes,5084,8,No,Yes,100.3,46917
Male,No,Yes,No,United States,California,Livermore,-121.659562,Yes,No,No,Cable,28,No,Yes,No,Yes,Bank Withdrawal,Q3,Yes,4829,44,No,No,30.35,75929
Male,No,Yes,No,United States,California,Napa,-122.27011,Yes,Yes,Yes,Fiber Optic,16,No,Yes,Yes,Yes,Bank Withdrawal,Q3,Yes,5052,62,Yes,No,103.75,63947
Female,No,Yes,No,United States,California,Pleasanton,-121.862395,Yes,Yes,Yes,Cable,15,No,Yes,No,Yes,Bank Withdrawal,Q3,Yes,3601,33,No,No,80.6,36669
Female,No,Yes,No,United States,California,San Ramon,-121.976784,No,Yes,Yes,Fiber Optic,23,No,No,Yes,Yes,Bank Withdrawal,Q3,Yes,5419,4,No,No,94.3,44078
Male,No,Yes,No,United States,California,Pleasanton,-121.912061,Yes,Yes,Yes,Fiber Optic,23,No,No,No,Yes,Bank Withdrawal,Q3,Yes,2377,27,No,No,75.5,28568
Male,No,Yes,No,United States,California,Berkeley,-122.246597,No,Yes,Yes,Fiber Optic,29,No,No,No,Yes,Bank Withdrawal,Q3,Yes,5906,8,Yes,No,100.6,21205
Female,No,Yes,No,United States,California,Berkeley,-122.279391,Yes,Yes,No,Fiber Optic,2,Yes,No,No,Yes,Mailed Check,Q3,Yes,4486,3,No,Yes,88.3,11889
Female,No,Yes,No,United States,California,Berkeley,-122.303708,No,Yes,No,Fiber Optic,9,No,No,No,Yes,Bank Withdrawal,Q3,Yes,5662,8,Yes,No,92.1,8157
Male,No,Yes,No,United States,California,Greenbrae,-122.563571,No,Yes,No,Fiber Optic,24,No,No,No,No,Credit Card,Q3,Yes,4777,14,No,No,90.45,12010
Male,No,Yes,No,United States,California,Forest Knolls,-122.689442,No,No,No,DSL,10,No,No,No,Yes,Bank Withdrawal,Q3,Yes,2437,12,Yes,Yes,43.65,1025
Female,No,Yes,No,United States,California,Freedom,-121.785559,No,Yes,No,Fiber Optic,21,No,No,No,Yes,Bank Withdrawal,Q3,Yes,2995,13,Yes,No,74.3,4753
Female,No,Yes,No,United States,California,Gilroy,-121.528955,No,Yes,No,Fiber Optic,27,No,No,No,No,Bank Withdrawal,Q3,Yes,2202,11,No,No,89.7,49968
Male,No,Yes,No,United States,California,Los Gatos,-121.988727,Yes,Yes,Yes,Cable,16,No,No,No,Yes,Credit Card,Q3,Yes,5508,17,Yes,No,100.45,13290
Male,No,Yes,No,United States,California,San Jose,-121.936285,Yes,Yes,Yes,Fiber Optic,26,No,Yes,Yes,Yes,Bank Withdrawal,Q3,Yes,4687,39,Yes,No,105.65,32804
Female,No,Yes,No,United States,California,San Jose,-121.723877,Yes,Yes,Yes,Fiber Optic,27,No,No,No,Yes,Bank Withdrawal,Q3,Yes,4553,11,Yes,Yes,104.05,15798
Female,No,Yes,No,United States,California,Glencoe,-120.579304,Yes,Yes,No,Fiber Optic,9,No,No,No,Yes,Bank Withdrawal,Q3,Yes,3834,3,No,No,80.4,21
Male,No,Yes,No,United States,California,Columbia,-120.37855,No,Yes,No,DSL,14,No,No,No,Yes,Bank Withdrawal,Q3,Yes,4716,21,Yes,No,60.05,2144
Female,No,Yes,No,United States,California,Escondido,-116.967221,No,Yes,Yes,Fiber Optic,16,No,No,No,Yes,Bank Withdrawal,Q3,Yes,5913,16,No,No,96.15,48690
Female,No,Yes,No,United States,California,Lakewood,-118.148403,No,Yes,No,Fiber Optic,30,No,Yes,No,No,Credit Card,Q3,Yes,3180,46,No,No,95.25,30173
Female,No,Yes,No,United States,California,Fulton,-122.777141,Yes,Yes,Yes,Fiber Optic,24,No,Yes,No,Yes,Bank Withdrawal,Q3,Yes,5651,68,No,No,89.6,476
Male,No,Yes,No,United States,California,Nice,-122.838198,Yes,Yes,No,Fiber Optic,27,No,No,No,Yes,Bank Withdrawal,Q3,Yes,3077,7,No,No,89.5,2223
Male,No,Yes,No,United States,California,Alderpoint,-123.584144,Yes,Yes,Yes,Cable,22,No,No,No,Yes,Bank Withdrawal,Q3,Yes,4981,15,No,No,85.6,261
Male,No,Yes,No,United States,California,Bayside,-124.049485,No,Yes,Yes,Fiber Optic,22,No,No,No,Yes,Bank Withdrawal,Q3,Yes,2508,16,No,No,86.6,1689
Female,No,Yes,No,United States,California,Loleta,-124.240051,No,Yes,No,Cable,18,No,No,No,Yes,Bank Withdrawal,Q3,Yes,4371,1,No,No,69.25,1447
Female,No,Yes,No,United States,California,Rio Dell,-124.163234,No,No,No,Cable,5,No,No,No,Yes,Bank Withdrawal,Q3,Yes,5688,1,No,No,25.2,3284
Female,No,Yes,No,United States,California,Davis,-121.685559,No,Yes,Yes,Fiber Optic,24,No,No,Yes,Yes,Bank Withdrawal,Q3,Yes,2230,13,No,No,95.05,648
Female,No,Yes,No,United States,California,Folsom,-121.147403,No,Yes,No,Fiber Optic,24,No,No,No,Yes,Bank Withdrawal,Q3,Yes,4363,1,No,No,79.2,51855
Female,No,Yes,No,United States,California,Madison,-121.961866,Yes,Yes,Yes,Fiber Optic,4,No,Yes,No,Yes,Bank Withdrawal,Q3,Yes,3369,34,Yes,No,94.25,844
Female,No,Yes,No,United States,California,Pleasant Grove,-121.498102,No,Yes,No,Fiber Optic,10,No,Yes,Yes,Yes,Credit Card,Q3,Yes,2268,4,Yes,No,99.8,901
Female,No,Yes,No,United States,California,Sheridan,-121.345074,No,Yes,Yes,Fiber Optic,18,No,No,No,Yes,Bank Withdrawal,Q3,Yes,4193,2,No,No,93.85,1219
Male,No,Yes,No,United States,California,Wheatland,-121.409837,No,Yes,Yes,Fiber Optic,18,No,No,No,Yes,Credit Card,Q3,Yes,5745,9,No,No,84.4,3600
Female,No,Yes,No,United States,California,Rancho Cordova,-121.161585,No,Yes,No,Fiber Optic,9,No,No,No,Yes,Credit Card,Q3,Yes,4028,5,Yes,No,75.55,299
Male,No,Yes,No,United States,California,Canyon Dam,-121.120605,No,Yes,Yes,Fiber Optic,8,No,No,Yes,Yes,Bank Withdrawal,Q3,Yes,4458,22,No,No,96.7,86
Male,No,Yes,No,United States,California,Dobbins,-121.21191,No,Yes,Yes,Fiber Optic,9,No,Yes,No,Yes,Bank Withdrawal,Q3,Yes,5683,19,No,No,88.2,614
Male,No,Yes,No,United States,California,Forest Ranch,-121.494168,No,Yes,Yes,Fiber Optic,19,No,No,No,No,Bank Withdrawal,Q3,Yes,2099,15,No,No,75.65,1351
Male,No,Yes,No,United States,California,Grass Valley,-121.137962,No,Yes,Yes,Fiber Optic,20,No,No,No,Yes,Bank Withdrawal,Q3,Yes,3348,1,No,No,74.7,17922
Female,No,Yes,No,United States,California,Nevada City,-120.858667,No,No,No,DSL,26,No,No,No,Yes,Mailed Check,Q3,Yes,3884,1,No,No,25.8,17269
Male,No,Yes,No,United States,California,Escondido,-116.967221,No,Yes,Yes,Fiber Optic,14,No,No,No,Yes,Bank Withdrawal,Q3,Yes,5353,10,No,No,95.35,48690
Female,No,Yes,No,United States,California,Fallbrook,-117.299644,No,Yes,No,DSL,6,No,No,No,No,Bank Withdrawal,Q3,Yes,4145,3,No,No,45.0,42239
Male,No,Yes,No,United States,California,Lewiston,-122.803899,Yes,Yes,No,Fiber Optic,19,No,No,No,Yes,Bank Withdrawal,Q3,Yes,5374,12,No,No,80.45,1845
Male,No,Yes,No,United States,California,Palo Cedro,-122.195512,No,Yes,No,Fiber Optic,11,No,Yes,No,Yes,Bank Withdrawal,Q3,Yes,2803,2,No,No,74.7,4931
Male,No,Yes,No,United States,California,Round Mountain,-122.059933,No,Yes,Yes,Fiber Optic,20,No,No,No,Yes,Bank Withdrawal,Q3,Yes,3106,1,Yes,No,88.8,459
Male,No,Yes,No,United States,California,San Diego,-117.202542,Yes,Yes,No,Fiber Optic,5,No,Yes,No,Yes,Bank Withdrawal,Q3,Yes,3861,13,No,Yes,89.05,28201
Female,No,Yes,No,United States,California,San Diego,-117.202542,No,Yes,No,Fiber Optic,23,No,Yes,No,Yes,Bank Withdrawal,Q3,Yes,2740,23,No,No,94.75,28201
Female,No,Yes,No,United States,California,San Diego,-117.202542,Yes,Yes,Yes,Fiber Optic,6,Yes,No,No,Yes,Bank Withdrawal,Q3,Yes,3209,17,Yes,No,85.35,28201
Male,No,Yes,No,United States,California,San Diego,-117.202542,No,Yes,No,DSL,2,No,No,No,Yes,Bank Withdrawal,Q3,Yes,3797,17,No,No,45.05,28201
Female,No,Yes,No,United States,California,San Diego,-117.202542,No,Yes,Yes,Fiber Optic,17,No,No,No,Yes,Bank Withdrawal,Q3,Yes,4871,42,No,No,84.65,28201
Male,No,Yes,No,United States,California,San Diego,-117.202542,No,Yes,No,Fiber Optic,16,No,No,No,Yes,Bank Withdrawal,Q3,Yes,5001,1,No,No,79.1,28201
Male,No,Yes,No,United States,California,San Diego,-117.202937,No,Yes,No,Cable,12,No,No,No,Yes,Mailed Check,Q3,Yes,3438,1,Yes,No,50.15,4258
Female,No,Yes,No,United States,California,Hermosa Beach,-118.396336,No,Yes,No,Fiber Optic,15,No,No,No,Yes,Bank Withdrawal,Q3,Yes,3438,1,No,No,69.6,18693
Female,No,Yes,No,United States,California,Buena Park,-118.012204,No,Yes,Yes,Fiber Optic,23,Yes,Yes,Yes,Yes,Bank Withdrawal,Q3,Yes,3380,41,Yes,No,113.2,44442
Male,No,Yes,No,United States,California,Buena Park,-117.993368,No,Yes,No,Fiber Optic,4,No,No,Yes,Yes,Bank Withdrawal,Q3,Yes,5394,13,No,No,90.5,33528
Male,No,Yes,No,United States,California,Long Beach,-118.199049,Yes,Yes,Yes,Fiber Optic,23,No,No,Yes,Yes,Bank Withdrawal,Q3,Yes,4584,32,No,No,85.0,63136
Male,No,Yes,No,United States,California,South Pasadena,-118.156957,Yes,Yes,Yes,Fiber Optic,10,No,No,Yes,No,Bank Withdrawal,Q3,Yes,2712,32,No,No,85.3,23984
Male,No,Yes,No,United States,California,Glendale,-118.267539,Yes,No,No,Cable,3,No,No,Yes,Yes,Bank Withdrawal,Q3,Yes,5172,57,No,No,44.85,21990
Male,No,Yes,No,United States,California,Glendale,-118.26036,No,Yes,No,Cable,14,No,No,No,No,Bank Withdrawal,Q3,Yes,4499,1,No,No,45.1,17015
Male,No,Yes,No,United States,California,Reseda,-118.540958,No,No,No,DSL,26,No,Yes,No,Yes,Bank Withdrawal,Q3,Yes,4972,1,Yes,No,43.3,68018
Female,No,Yes,No,United States,California,Sylmar,-118.399841,No,Yes,No,DSL,27,Yes,Yes,No,Yes,Credit Card,Q3,Yes,3110,38,No,No,57.15,81986
Female,No,Yes,No,United States,California,Burbank,-118.31003,Yes,Yes,Yes,Cable,22,Yes,Yes,No,Yes,Bank Withdrawal,Q3,Yes,4745,35,No,Yes,100.5,11517
Female,No,Yes,No,United States,California,North Hollywood,-118.387125,No,Yes,No,DSL,14,No,No,No,No,Credit Card,Q3,Yes,2740,1,No,No,45.1,45358
Male,No,Yes,No,United States,California,Chino,-117.663025,Yes,Yes,No,DSL,29,No,Yes,No,Yes,Bank Withdrawal,Q3,Yes,4795,30,No,No,50.4,75319
Female,No,Yes,No,United States,California,Claremont,-117.717863,No,Yes,No,Fiber Optic,20,No,No,No,No,Bank Withdrawal,Q3,Yes,4054,5,No,No,78.95,34716
Male,No,Yes,No,United States,California,San Diego,-117.199424,No,Yes,Yes,Fiber Optic,6,No,No,No,Yes,Bank Withdrawal,Q3,Yes,5536,1,No,No,93.55,51213
Male,No,Yes,No,United States,California,San Diego,-117.199424,Yes,Yes,Yes,Fiber Optic,19,Yes,Yes,No,Yes,Bank Withdrawal,Q3,Yes,4739,58,Yes,No,108.85,51213
Female,No,Yes,No,United States,California,San Diego,-117.199424,No,Yes,Yes,Fiber Optic,7,No,No,No,Yes,Bank Withdrawal,Q3,Yes,5136,16,No,No,84.75,51213
Female,No,Yes,No,United States,California,San Diego,-117.199424,No,Yes,No,Fiber Optic,27,No,No,No,Yes,Bank Withdrawal,Q3,Yes,3208,1,No,No,69.95,51213
Female,No,Yes,No,United States,California,San Diego,-117.209774,Yes,Yes,Yes,Fiber Optic,11,No,Yes,No,Yes,Bank Withdrawal,Q3,Yes,4287,5,No,No,81.0,34902
Male,No,Yes,No,United States,California,Desert Center,-115.257009,No,Yes,No,Fiber Optic,7,No,No,No,Yes,Bank Withdrawal,Q3,Yes,4317,21,Yes,No,96.8,964
Female,No,Yes,No,United States,California,Escondido,-116.967221,No,Yes,No,Fiber Optic,10,Yes,Yes,No,Yes,Credit Card,Q3,Yes,2833,43,No,Yes,108.15,48690
Female,No,Yes,No,United States,California,Fallbrook,-117.299644,Yes,Yes,Yes,Fiber Optic,6,No,No,No,Yes,Bank Withdrawal,Q3,Yes,5247,32,No,No,93.2,42239
Female,No,Yes,No,United States,California,Wrightwood,-117.618263,No,Yes,No,Fiber Optic,13,No,No,No,Yes,Bank Withdrawal,Q3,Yes,2146,1,No,No,70.55,4253
Male,No,Yes,No,United States,California,Moreno Valley,-117.109972,Yes,Yes,Yes,Fiber Optic,28,No,No,Yes,Yes,Bank Withdrawal,Q3,Yes,5137,29,Yes,No,98.5,12743
Male,No,Yes,No,United States,California,Murrieta,-117.14719,Yes,Yes,Yes,Cable,6,No,No,Yes,Yes,Bank Withdrawal,Q3,Yes,2982,13,No,No,95.25,18311
Male,No,Yes,No,United States,California,Nuevo,-117.102244,Yes,Yes,Yes,Fiber Optic,17,No,No,No,Yes,Credit Card,Q3,Yes,4969,7,No,No,74.4,7344
Female,No,Yes,No,United States,California,Irvine,-117.824172,No,Yes,Yes,Fiber Optic,28,No,No,Yes,Yes,Bank Withdrawal,Q3,Yes,3685,2,Yes,No,88.55,17621
Female,No,Yes,No,United States,California,Corona Del Mar,-117.862734,No,Yes,No,Fiber Optic,2,No,No,Yes,Yes,Bank Withdrawal,Q3,Yes,2371,1,No,No,91.3,13422
Male,No,Yes,No,United States,California,Midway City,-117.98588,Yes,Yes,No,Fiber Optic,22,No,No,No,Yes,Credit Card,Q3,Yes,3669,7,No,No,70.1,8660
Male,No,Yes,No,United States,California,Newport Beach,-117.902304,Yes,Yes,Yes,Fiber Optic,21,No,Yes,No,Yes,Bank Withdrawal,Q3,Yes,6259,57,Yes,No,95.25,4242
Female,No,Yes,No,United States,California,Newport Beach,-117.927024,Yes,Yes,Yes,Fiber Optic,23,No,No,No,Yes,Bank Withdrawal,Q3,Yes,3128,1,Yes,No,100.8,22133
Male,No,Yes,No,United States,California,Santa Ana,-117.881533,Yes,Yes,No,Fiber Optic,8,No,Yes,No,Yes,Bank Withdrawal,Q3,Yes,3266,17,No,No,76.45,37879
Female,No,Yes,No,United States,California,Oak View,-119.302118,No,Yes,No,Fiber Optic,20,No,No,No,Yes,Bank Withdrawal,Q3,Yes,3561,3,Yes,No,86.85,6503
Male,No,Yes,No,United States,California,Santa Barbara,-119.710008,Yes,Yes,Yes,Fiber Optic,25,No,No,No,Yes,Credit Card,Q3,Yes,4479,66,Yes,No,99.5,31727
Male,No,Yes,No,United States,California,Santa Barbara,-119.77191,Yes,Yes,Yes,Fiber Optic,4,No,Yes,No,Yes,Bank Withdrawal,Q3,Yes,4708,69,Yes,Yes,108.4,15757
Female,No,Yes,No,United States,California,Temecula,-117.029473,Yes,Yes,Yes,Fiber Optic,3,No,No,No,Yes,Bank Withdrawal,Q3,Yes,2596,15,Yes,Yes,83.05,46171
Female,No,Yes,No,United States,California,Terra Bella,-119.043666,No,Yes,Yes,Fiber Optic,4,No,Yes,No,Yes,Bank Withdrawal,Q3,Yes,5605,56,Yes,No,104.75,5868
Female,No,Yes,No,United States,California,Temecula,-117.029473,No,Yes,Yes,Fiber Optic,9,No,No,No,Yes,Bank Withdrawal,Q3,Yes,4819,21,No,No,94.25,46171
Female,No,Yes,No,United States,California,Bradley,-121.004862,No,Yes,No,Fiber Optic,8,No,No,No,Yes,Bank Withdrawal,Q3,Yes,2825,1,No,No,70.15,1363
Male,No,Yes,No,United States,California,Nipomo,-120.489599,Yes,Yes,Yes,Fiber Optic,3,No,Yes,No,No,Bank Withdrawal,Q3,Yes,4113,32,Yes,No,106.35,15405
Female,No,Yes,No,United States,California,Lee Vining,-119.184087,Yes,Yes,Yes,Fiber Optic,20,No,No,Yes,Yes,Credit Card,Q3,Yes,5676,40,No,No,94.55,504
Male,No,Yes,No,United States,California,Palmdale,-117.79593,No,No,No,DSL,6,No,No,No,Yes,Credit Card,Q3,Yes,5573,2,No,No,24.45,6787
